vendor,collection,model_name,series_instance_uid,n_slices,kvp,ctdivol_mgy,ctdivol_source,scan_mean_tube_current_ma,n_organs,n_truncated,weight_spread
GE,ACRIN-NSCLC-FDG-PET,LightSpeed Ultra,1.3.6.1.4.1.14519.5.2.1.7009.2403.104753627722770752924713208933,119,120.0,,unavailable,302.1848739495798,12,0,0.1985
GE,Adrenal-ACC-Ki67-Seg,LightSpeed Pro 16,1.3.6.1.4.1.14519.5.2.1.124206625223954387033910217866425393091,111,120.0,,unavailable,391.36036036036035,11,2,0.1377
GE,Anti-PD-1_Lung,Discovery CT750 HD,1.3.6.1.4.1.14519.5.2.1.3098.5025.104712617917450619399991479763,262,120.0,18.458844721653325,"reconstructed (open MIRDct table, GE Discovery CT750 HD)",273.2175572519084,11,0,0.2303
GE,C4KC-KiTS,LightSpeed Pro 16,1.3.6.1.4.1.14519.5.2.1.6919.4624.102552799280450622384605073116,199,120.0,,unavailable,393.63316582914575,12,0,0.156
GE,CMB-BRCA,Revolution EVO,1.3.6.1.4.1.14519.5.2.1.126451157075786057396180437022526798077,337,120.0,,unavailable,386.53115727002967,11,4,0.0305
GE,CMB-LCA,Optima CT660,1.3.6.1.4.1.14519.5.2.1.1.14850002370218603822287426909654457044,201,120.0,16.85960220714609,"reconstructed (open MIRDct table, GE Optima 660)",380.78109452736317,12,0,0.2779
GE,CMB-OV,Revolution CT,1.3.6.1.4.1.14519.5.2.1.110412737079958828416643878868827236377,321,100.0,,unavailable,240.5109034267913,11,0,0.6787
GE,CPTAC-CCRCC,LightSpeed VCT,1.3.6.1.4.1.14519.5.2.1.190738758608436907826741043480210378147,200,120.0,6.891528436363637,"reconstructed (open MIRDct table, GE LightSpeed VCT)",192.13,11,0,0.2092
GE,CPTAC-CM,LightSpeed16,1.3.6.1.4.1.14519.5.2.1.2932.1975.126887613559064617057929801994,513,120.0,23.95669995885235,"reconstructed (open MIRDct table, GE LightSpeed 16)",400.98830409356725,12,0,0.0006
GE,CPTAC-LUAD,Discovery STE,1.3.6.1.4.1.14519.5.2.1.4320.5885.101839196455054321363367605040,254,120.0,,unavailable,199.60629921259843,12,0,0.1102
Siemens,Adrenal-ACC-Ki67-Seg,SOMATOM Definition AS+,1.3.6.1.4.1.14519.5.2.1.169260120790039889716250759344671861678,140,120.0,14.61650263973941,"recorded (0018,9345)",351.55,11,2,0.2514
